lat,lon,id,name,geometry,index_right,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,LSOA name,10th percentile (£),20th percentile (£),30th percentile (£),40th percentile (£),50th percentile (£),60th percentile (£),70th percentile (£),80th percentile (£),90th percentile (£),Percentage of occupied addresses with income information (%),Population,IMD Score,Station Name,Start Count,End Count,Total Demand,Normalized Demand
51.529163,-0.10997,BikePoints_1,"River Street , Clerkenwell",POINT (-0.10997 51.529163),2856,E01002729,Islington 021E,E02000574,Islington 021,E09000019,Islington,Islington 021E," 12,683 "," 19,019 "," 24,331 "," 29,987 ",35131.0," 41,257 "," 48,815 "," 66,601 "," 93,841 ",95.6,1726.0,31.0,"River Street , Clerkenwell",7398.0,5098,12496.0,0.09794561886174273
51.499606,-0.197574,BikePoints_2,"Phillimore Gardens, Kensington",POINT (-0.197574 51.499606),2951,E01002865,Kensington and Chelsea 011E,E02000587,Kensington and Chelsea 011,E09000020,Kensington and Chelsea,Kensington and Chelsea 011E," 11,151 "," 16,179 "," 20,961 "," 29,255 ",39285.0," 55,511 "," 74,927 "," 115,207 "," 228,898 ",84.8,1689.0,7.3,"Phillimore Gardens, Kensington",13723.0,14254,27977.0,0.21928813851592321
51.521283,-0.084605,BikePoints_3,"Christopher Street, Liverpool Street",POINT (-0.084605 51.521283),1920,E01033708,Hackney 033C,E02007111,Hackney 033,E09000012,Hackney,Hackney 027G," 10,991 "," 18,616 "," 25,244 "," 31,017 ",38556.0," 50,239 "," 61,983 "," 75,538 "," 107,727 ",88.3,2424.0,20.1,"Christopher Street, Liverpool Street",7528.0,8788,16316.0,0.12788738134988753
51.530059,-0.120973,BikePoints_4,"St. Chad's Street, King's Cross",POINT (-0.120973 51.530059),926,E01000938,Camden 029A,E02007115,Camden 029,E09000007,Camden,Camden 024B," 8,716 "," 15,026 "," 18,504 "," 22,480 ",26044.0," 30,077 "," 36,161 "," 43,136 "," 57,500 ",91.8,2174.0,33.7,"St. Chad's Street, King's Cross",6506.0,6801,13307.0,0.10430236477218395
51.49313,-0.156876,BikePoints_5,"Sedding Street, Sloane Square",POINT (-0.156876 51.49313),3003,E01002859,Kensington and Chelsea 012C,E02000588,Kensington and Chelsea 012,E09000020,Kensington and Chelsea,Kensington and Chelsea 012C," 8,237 "," 18,553 "," 26,556 "," 32,379 ",43311.0," 56,566 "," 82,157 "," 136,040 "," 248,036 ",88.2,1627.0,10.2,"Sedding Street, Sloane Square",17096.0,18898,35994.0,0.2821266489524302
51.518117,-0.144228,BikePoints_6,"Broadcasting House, Marylebone",POINT (-0.144228 51.518117),4977,E01004765,Westminster 013D,E02000972,Westminster 013,E09000033,Westminster,Westminster 013D," 11,991 "," 18,381 "," 22,872 "," 27,449 ",33872.0," 40,425 "," 49,544 "," 68,630 "," 112,722 ",91.9,2687.0,18.7,"Broadcasting House, Marylebone",12206.0,13019,25225.0,0.1977175284721079
51.5343,-0.168074,BikePoints_7,"Charlbert Street, St. John's Wood",POINT (-0.168074 51.5343),4982,E01004730,Westminster 001D,E02000960,Westminster 001,E09000033,Westminster,Westminster 001D," 11,007 "," 18,436 "," 24,272 "," 32,464 ",41362.0," 49,940 "," 62,241 "," 83,865 "," 126,135 ",92.1,2262.0,6.6,"Charlbert Street, St. John's Wood",7103.0,6308,13411.0,0.10511753317500255
51.529857,-0.183486,BikePoints_8,"Maida Vale, Maida Vale",POINT (-0.183486 51.529857),4934,E01004709,Westminster 007E,E02000966,Westminster 007,E09000033,Westminster,Westminster 007E," 12,645 "," 19,303 "," 23,633 "," 28,219 ",33060.0," 38,254 "," 49,120 "," 68,235 "," 114,035 ",95.9,1877.0,20.1,"Maida Vale, Maida Vale",16002.0,14609,30611.0,0.23993384594884817
51.507385,-0.09644,BikePoints_9,"New Globe Walk, Bankside",POINT (-0.09644 51.507385),4192,E01003935,Southwark 002D,E02000808,Southwark 002,E09000028,Southwark,Southwark 002D," 8,785 "," 15,749 "," 20,193 "," 24,901 ",28906.0," 33,626 "," 38,574 "," 48,147 "," 69,997 ",96.6,1340.0,21.0,"New Globe Walk, Bankside",7991.0,8074,16065.0,0.1259200037623157
51.505974,-0.092754,BikePoints_10,"Park Street, Bankside",POINT (-0.092754 51.505974),4192,E01003935,Southwark 002D,E02000808,Southwark 002,E09000028,Southwark,Southwark 002D," 8,785 "," 15,749 "," 20,193 "," 24,901 ",28906.0," 33,626 "," 38,574 "," 48,147 "," 69,997 ",96.6,1340.0,21.0,"Park Street, Bankside",7314.0,7601,14915.0,0.11690612238499463
