LSOA11CD,population,IMD score
E01000001,1749.0,6.2
E01000002,1678.0,5.1
E01000003,1900.0,19.4
E01000005,2181.0,28.7
E01000006,2117.0,19.8
E01000007,1283.0,31.6
E01000008,1594.0,37.6
E01000009,1959.0,32.8
E01000010,3650.0,32.4
E01000011,1753.0,30.7
E01000012,2372.0,34.7
E01000013,1845.0,39.0
E01000014,1700.0,35.7
E01000015,2395.0,33.6
E01000016,1739.0,32.8
E01000017,1504.0,39.0
E01000018,1724.0,33.4
E01000019,1530.0,33.6
E01000020,1882.0,36.0
E01000021,1753.0,38.9
E01000022,1443.0,34.4
E01000023,424.0,36.9
E01000024,1535.0,29.3
E01000025,1674.0,36.7
E01000027,1829.0,37.3
E01000028,1698.0,40.1
E01000029,1804.0,22.5
E01000030,2395.0,38.4
E01000031,1777.0,22.7
E01000032,1960.0,30.0
E01000033,1583.0,38.0
E01000034,1634.0,35.9
E01000035,1855.0,26.2
E01000036,1473.0,19.3
E01000037,1871.0,18.0
E01000038,1422.0,19.6
E01000039,1719.0,22.3
E01000040,1802.0,34.6
E01000041,1810.0,33.2
E01000042,2023.0,41.6
E01000043,1532.0,28.1
E01000044,2056.0,28.4
E01000045,1804.0,35.7
E01000046,1935.0,29.8
E01000048,878.0,44.7
E01000049,1813.0,41.2
E01000050,1974.0,34.7
E01000051,1021.0,36.9
E01000052,2306.0,33.3
E01000053,1627.0,40.0
E01000054,1955.0,29.8
E01000055,1709.0,30.9
E01000056,1661.0,35.9
E01000057,1555.0,32.9
E01000058,2027.0,31.8
E01000059,1656.0,32.3
E01000060,1971.0,36.2
E01000061,1872.0,46.3
E01000062,2435.0,26.7
E01000063,1835.0,33.4
E01000064,2215.0,35.3
E01000065,1781.0,39.9
E01000066,2264.0,25.8
E01000067,2304.0,21.0
E01000068,1570.0,25.6
E01000069,1921.0,16.4
E01000070,2226.0,21.0
E01000071,2660.0,18.8
E01000072,2152.0,41.0
E01000073,1742.0,38.8
E01000074,1648.0,35.0
E01000075,1903.0,37.0
E01000076,2161.0,36.2
E01000077,1586.0,41.0
E01000078,1908.0,35.0
E01000079,1779.0,34.5
E01000080,1622.0,33.2
E01000081,1883.0,30.6
E01000082,2088.0,27.9
E01000083,1956.0,34.4
E01000084,1414.0,39.8
E01000085,1880.0,35.2
E01000086,1471.0,38.2
E01000087,1637.0,34.4
E01000088,2129.0,28.8
E01000089,1879.0,29.0
E01000090,1750.0,28.3
E01000091,2080.0,42.2
E01000092,3379.0,33.8
E01000093,1789.0,46.9
E01000094,2326.0,28.2
E01000095,1856.0,32.3
E01000096,1858.0,40.9
E01000097,1800.0,38.0
E01000098,1805.0,39.4
E01000099,1416.0,29.3
E01000100,1779.0,31.8
E01000101,1569.0,40.5
E01000102,1539.0,42.6
E01000103,1721.0,32.9
E01000104,2015.0,34.7
E01000105,2330.0,44.1
E01000106,2184.0,43.5
E01000107,1777.0,28.3
E01000108,1909.0,28.2
E01000109,1610.0,25.7
E01000110,1485.0,17.7
E01000111,2058.0,28.9
E01000112,2132.0,24.7
E01000113,1834.0,25.3
E01000114,2493.0,23.3
E01000115,1319.0,6.2
E01000116,1722.0,7.8
E01000117,1791.0,9.6
E01000118,2169.0,9.8
E01000119,1756.0,11.6
E01000120,1466.0,5.9
E01000121,1463.0,36.2
E01000122,1439.0,10.2
E01000123,1780.0,11.0
E01000124,1783.0,23.6
E01000125,3307.0,26.7
E01000126,2231.0,33.6
E01000127,1560.0,27.5
E01000128,1985.0,27.1
E01000129,1867.0,31.0
E01000130,1804.0,30.9
E01000131,2057.0,20.9
E01000132,1581.0,25.5
E01000133,1673.0,30.8
E01000134,1743.0,24.7
E01000135,1750.0,12.5
E01000136,1649.0,9.0
E01000137,1689.0,28.8
E01000138,1590.0,27.9
E01000139,1632.0,12.4
E01000140,2169.0,16.8
E01000141,2258.0,28.8
E01000142,2689.0,16.7
E01000143,1559.0,31.3
E01000144,1798.0,18.3
E01000145,1736.0,14.6
E01000146,2180.0,18.5
E01000147,1886.0,12.8
E01000148,1680.0,27.7
E01000150,2239.0,15.6
E01000151,1766.0,38.9
E01000152,2042.0,32.4
E01000153,1767.0,41.6
E01000154,1765.0,32.7
E01000155,1700.0,20.8
E01000156,2195.0,8.3
E01000157,1661.0,12.7
E01000158,1492.0,19.7
E01000159,1809.0,16.3
E01000160,2242.0,12.1
E01000161,2433.0,14.5
E01000162,1623.0,18.5
E01000163,1730.0,28.5
E01000164,1802.0,25.3
E01000165,1863.0,13.3
E01000166,1619.0,14.9
E01000167,1304.0,28.4
E01000168,1569.0,7.0
E01000169,1640.0,13.2
E01000170,1873.0,20.4
E01000171,2421.0,24.3
