name,lsoa21cd,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over,Works mainly from home,"Works mainly at an offshore installation, in no fixed place, or outside the UK"
Wandsworth 001A,E01004560,1185,86,147,131,37,5,5,1,5,669,99
Wandsworth 001B,E01004566,1096,42,127,100,29,9,2,2,7,688,90
Wandsworth 001C,E01004582,1179,192,141,134,25,3,4,0,6,566,108
Wandsworth 001D,E01004583,894,86,105,70,38,2,0,1,4,503,85
Wandsworth 003A,E01004539,971,91,222,130,61,11,2,4,6,286,158
Wandsworth 003B,E01004540,1327,99,209,144,35,8,2,0,5,685,140
Wandsworth 003C,E01004577,1068,73,144,85,33,4,7,3,8,633,78
Wandsworth 003D,E01004584,803,115,157,103,45,6,1,4,3,249,120
Wandsworth 004B,E01004579,1078,80,128,94,43,2,12,0,11,631,77
Wandsworth 004C,E01004580,1293,105,193,155,43,9,8,2,7,671,100
Wandsworth 004D,E01004581,1079,123,155,112,43,6,2,3,6,534,95
Wandsworth 004E,E01033099,1236,81,162,163,37,7,1,2,5,689,89
Wandsworth 004G,E01033133,832,45,80,105,33,4,4,2,0,516,43
Wandsworth 004H,E01035488,1056,47,96,119,29,9,3,2,6,685,60
Wandsworth 004I,E01035489,905,32,109,114,32,6,2,0,6,551,53
Wandsworth 005A,E01004565,1099,49,121,111,34,9,5,3,7,683,77
Wandsworth 005B,E01004590,992,62,151,116,35,11,1,4,7,474,131
Wandsworth 005C,E01004591,1164,55,140,115,40,3,7,4,1,710,89
Wandsworth 005D,E01004592,938,63,145,102,32,3,1,2,7,494,89
Wandsworth 006A,E01004604,805,35,45,78,26,2,2,0,5,578,34
Wandsworth 006B,E01004605,939,42,93,147,45,4,3,1,5,530,69
Wandsworth 006C,E01004606,1151,39,76,130,60,1,3,1,5,773,63
Wandsworth 006D,E01004607,925,39,52,90,39,7,2,2,3,653,38
Wandsworth 006E,E01004608,1047,63,92,117,41,9,2,2,6,652,63
Wandsworth 007A,E01004535,698,99,137,130,38,4,6,4,7,147,126
Wandsworth 007B,E01004537,1120,87,204,173,37,11,3,2,7,464,132
Wandsworth 007C,E01004538,1382,90,199,209,54,9,3,1,10,661,146
