lat,lon,id,geometry,index_right,lsoa21cd,lsoa21nm,msoa21cd,msoa21nm,lad22cd,lad22nm,LSOA name,10th percentile (£),20th percentile (£),30th percentile (£),40th percentile (£),50th percentile (£),60th percentile (£),70th percentile (£),80th percentile (£),90th percentile (£),Percentage of occupied addresses with income information (%),Population,IMD Score,Density Weight,Wealth Equity Score,Normalized IMD Score,Normalized Income Score,area,Population Density,norm_pop,norm_imd,norm_density,Value,Policy,build_rank
51.52679,-0.16874,potential_275,POINT (-0.16874 51.52679),8395.0,E01004670,Westminster 009A,E02000968,Westminster 009,E09000033,Westminster,Westminster 009A," 11,097 "," 14,327 "," 17,094 "," 20,263 ",22594.0," 24,863 "," 27,811 "," 31,485 "," 39,194 ",97.8,2971.0,48.0,0.0024787521766663,0.6560982663358651,0.9230769230769232,0.3439017336641349,1.0762503292150695e-05,276051018.92668486,0.7692905230450544,0.9230769230769231,0.0024787521766663,7.728729058909897,1,1
51.53584,-0.03404,potential_199,POINT (-0.03404 51.53584),9486.0,E01004222,Tower Hamlets 001A,E02000864,Tower Hamlets 001,E09000030,Tower Hamlets,Tower Hamlets 001A," 10,624 "," 14,508 "," 18,430 "," 21,009 ",24858.0," 28,659 "," 33,490 "," 38,663 "," 49,107 ",98.7,3015.0,37.7,0.0183156388887341,0.6216380766830545,0.7250000000000001,0.3783619233169454,1.791059128936461e-05,168336151.0119613,0.780683583635422,0.7250000000000001,0.0183156388887341,7.2220455545066855,1,2
51.52094,-0.17751,potential_1172,POINT (-0.17751 51.52094),9939.0,E01004702,Westminster 009E,E02000968,Westminster 009,E09000033,Westminster,Westminster 009E," 12,365 "," 16,132 "," 19,810 "," 22,785 ",25652.0," 29,334 "," 32,995 "," 38,744 "," 47,636 ",97.9,2878.0,42.1,0.0024787521766663,0.6095526568136501,0.8096153846153846,0.3904473431863499,2.1270531645503782e-05,135304563.5137361,0.7452097358881409,0.8096153846153846,0.0024787521766663,7.067877663974292,1,3
51.545976,-0.017493,potential_1424,POINT (-0.017493 51.545976),1921.0,E01001849,Hackney 018D,E02000362,Hackney 018,E09000012,Hackney,Hackney 018D," 10,993 "," 16,745 "," 21,294 "," 24,553 ",28500.0," 33,010 "," 37,268 "," 44,994 "," 56,099 ",98.4,2818.0,34.1,0.0024787521766663,0.5662034429747789,0.6557692307692308,0.4337965570252211,6.423721372828426e-05,43868652.39703272,0.7296737441740031,0.6557692307692308,0.0024787521766663,6.8079797076799835,1,4
51.51596,-0.03615,potential_1235,POINT (-0.03615 51.51596),7995.0,E01004286,Tower Hamlets 019C,E02000882,Tower Hamlets 019,E09000030,Tower Hamlets,Tower Hamlets 019C," 11,036 "," 15,600 "," 18,886 "," 21,525 ",25332.0," 28,685 "," 33,254 "," 39,711 "," 52,262 ",98.4,2623.0,36.5,0.0024787521766663,0.614423354997793,0.7019230769230769,0.385576645002207,2.0200127389507607e-05,129850666.25681004,0.6791817711030554,0.7019230769230769,0.0024787521766663,6.703325527788567,1,5
51.51829,-0.02439,potential_1249,POINT (-0.02439 51.51829),9389.0,E01004272,Tower Hamlets 014D,E02000877,Tower Hamlets 014,E09000030,Tower Hamlets,Tower Hamlets 014D," 9,274 "," 12,576 "," 15,092 "," 18,176 ",21295.0," 24,459 "," 29,288 "," 34,007 "," 46,144 ",98.3,2603.0,35.1,0.0024787521766663,0.6758702567771199,0.675,0.3241297432228801,1.2264348640461747e-05,212241194.07469797,0.6740031071983428,0.675,0.0024787521766663,6.492273490931059,1,6
51.52016,-0.06209,potential_641,POINT (-0.06209 51.52016),9476.0,E01004205,Tower Hamlets 013A,E02000876,Tower Hamlets 013,E09000030,Tower Hamlets,Tower Hamlets 013A," 8,617 "," 12,491 "," 14,911 "," 18,206 ",21436.0," 24,637 "," 28,685 "," 33,811 "," 42,621 ",98.2,2405.0,37.9,0.0024787521766663,0.673724105389732,0.7288461538461538,0.326275894610268,1.7501704578189396e-05,137415186.5754327,0.6227343345416883,0.7288461538461538,0.0024787521766663,6.317756400117638,1,7
51.53167,-0.05777,potential_440,POINT (-0.05777 51.53167),9365.0,E01004199,Tower Hamlets 002C,E02000865,Tower Hamlets 002,E09000030,Tower Hamlets,Tower Hamlets 002C," 8,809 "," 12,597 "," 16,474 "," 19,018 ",21877.0," 25,836 "," 29,522 "," 35,947 "," 46,628 ",99.0,1785.0,43.9,0.0183156388887341,0.6670116744547101,0.8442307692307692,0.3329883255452899,8.93717074604182e-06,199727637.6072996,0.46219575349559816,0.8442307692307692,0.0183156388887341,6.243929792073704,1,8
51.53522,-0.07418,potential_1001,POINT (-0.07418 51.53522),1798.0,E01001776,Hackney 025F,E02000369,Hackney 025,E09000012,Hackney,Hackney 025F," 12,013 "," 14,841 "," 18,835 "," 22,387 ",26714.0," 30,400 "," 35,470 "," 44,313 "," 59,165 ",98.0,1735.0,45.9,0.0024787521766663,0.593388027215026,0.8826923076923077,0.4066119727849739,1.3164226784411144e-05,131796574.79424146,0.44924909373381666,0.8826923076923077,0.0024787521766663,5.996591920536657,1,9
51.52045,-0.18596,potential_894,POINT (-0.18596 51.52045),8378.0,E01004757,Westminster 010C,E02000969,Westminster 010,E09000033,Westminster,Westminster 010C," 11,430 "," 15,951 "," 18,575 "," 22,318 ",26372.0," 30,306 "," 33,845 "," 39,833 "," 52,573 ",97.4,1930.0,40.5,0.0024787521766663,0.5985935858993288,0.7788461538461539,0.4014064141006712,1.601478913392277e-05,120513606.7581336,0.4997410668047644,0.7788461538461539,0.0024787521766663,5.982743181807431,1,10
